"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"286","bartosiak.marcin","ddslablsu","bartosiak.marcin_e1c_1550678775548.xlsx","2019-02-20 16:06:30","e1","c","94.1666666667","e1c"
"287","bartosiak.marcin","ddslablsu","bartosiak.marcin_e1c_1550690777948.xlsx","2019-02-20 19:26:33","e1","c","94.1666666667","e1c"
"288","bartosiak.marcin","ddslablsu","bartosiak.marcin_e1c_1550690841486.xlsx","2019-02-20 19:27:36","e1","c","100.0","e1c"
"289","dverdi4","isds1102spr19","dverdi4_e1a_1553131331374.xlsx","2019-03-21 01:22:35","e1","a","100.0","e1a"
"290","dverdi4","isds1102spr19","dverdi4_e1b_1553131990011.xlsx","2019-03-21 01:33:34","e1","b","100.0","e1b"
"291","dverdi4","isds1102spr19","dverdi4_e1c_1553134381109.xlsx","2019-03-21 02:13:25","e1","c","55.0","e1c"
"292","dverdi4","isds1102spr19","dverdi4_e1d_1553139304094.xlsx","2019-03-21 03:35:28","e1","d","100.0","e1d"
"293","dverdi4","isds1102spr19","dverdi4_e2a_1553219532690.xlsx","2019-03-22 01:53:54","e2","a","67.6666666667","e2a"
"294","dverdi4","isds1102spr19","dverdi4_e2b_1553220090360.xlsx","2019-03-22 02:01:55","e2","b","100.0","e2b"
"295","dverdi4","isds1102spr19","dverdi4_e2d_1553222728091.xlsx","2019-03-22 02:45:52","e2","d","33.3333333333","e2d"
"296","dverdi4","isds1102spr19","dverdi4_e2e_1553224171739.xlsx","2019-03-22 03:09:56","e2","e","71.6666666667","e2e"
"297","dverdi4","isds1102spr19","dverdi4_e3b_1553228683324.xlsx","2019-03-22 04:25:09","e3","b","50.0","e3b"
"298","dverdi4","isds1102spr19","dverdi4_e3c_1553229165985.xlsx","2019-03-22 04:33:10","e3","c","0.0","e3c"
"299","lwats24","isds1102s4workspace","lwats24_e1a_1553099423514.xlsx","2019-03-20 16:30:47","e1","a","77.5","e1a"
"300","lwats24","isds1102s4workspace","lwats24_e1b_1553100032803.xlsx","2019-03-20 16:40:56","e1","b","100.0","e1b"
"301","nnicho9","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"302","bshatt2","isds1102s4workspace","bshatt2_e1a_1553193624836.xlsx","2019-03-21 18:40:49","e1","a","100.0","e1a"
"303","bshatt2","isds1102s4workspace","bshatt2_e1b_1553194240404.xlsx","2019-03-21 18:51:05","e1","b","100.0","e1b"
"304","bshatt2","isds1102s4workspace","bshatt2_e1a_1553218257967.xlsx","2019-03-22 01:31:22","e1","a","100.0","e1a"
"305","bshatt2","isds1102s4workspace","bshatt2_e1b_1553218275209.xlsx","2019-03-22 01:31:39","e1","b","100.0","e1b"
